target		A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
P57059_WT	SD	-		0.29972191322897496	0.1183694444312456	0.14220576438340435	0.11122679163292779	0.2063797291222968	0.06549486666463891	0.2738612787525831	0.08071274976946824	0.0976840881103921	0.09768408811039213
P57059_WT	Test set	10:50		-0.08304547985373997	0.8	0.48	0.96	0.0	0.8275862068965517	0.0	0.888888888888889	0.5619999999999999	0.438
P54764_WT	Fold 1	1:10		0.0	0.9090909090909091	0.5	1.0	0.0	0.9090909090909091	0.0	0.9523809523809523	0.9	0.1
P54764_WT	Fold 2	2:9		0.6708203932499369	0.9090909090909091	0.75	1.0	0.5	0.9	1.0	0.9473684210526316	0.3888888888888889	0.6111111111111112
P54764_WT	Fold 3	2:9		0.6708203932499369	0.9090909090909091	0.75	1.0	0.5	0.9	1.0	0.9473684210526316	0.05555555555555555	0.9444444444444444
P54764_WT	Fold 4	2:9		0.6708203932499369	0.9090909090909091	0.75	1.0	0.5	0.9	1.0	0.9473684210526316	0.3333333333333333	0.6666666666666666
P54764_WT	Fold 5	2:9		0.6708203932499369	0.9090909090909091	0.75	1.0	0.5	0.9	1.0	0.9473684210526316	0.3333333333333333	0.6666666666666666
P54764_WT	Mean	-		0.5366563145999496	0.909090909090909	0.7	1.0	0.4	0.9018181818181817	0.8	0.9483709273182959	0.4022222222222222	0.5977777777777777
P54764_WT	SD	-		0.24494897427831785	4.5324665183683945e-17	0.09128709291752769	0.0	0.18257418583505536	0.003319530651546442	0.3651483716701107	0.0018303176524817175	0.2508750119181627	0.2508750119181627
P54764_WT	Test set	23:66		0.03195834324291802	0.7303370786516854	0.5065876152832675	0.9696969696969697	0.043478260869565216	0.7441860465116279	0.3333333333333333	0.8421052631578948	0.6277997364953888	0.37220026350461133
P54762_WT		0:2	Only one activity class in traing set for temporal split at 2013										
P54760_WT	Fold 1	50:30		0.6324555320336759	0.825	0.8200000000000001	0.8	0.84	0.75	0.875	0.7741935483870969	0.10533333333333335	0.8946666666666667
P54760_WT	Fold 2	50:30		0.6279007689553537	0.8125	0.8233333333333334	0.8666666666666667	0.78	0.7027027027027027	0.9069767441860465	0.7761194029850748	0.12600000000000003	0.874
P54760_WT	Fold 3	50:29		0.7531764847211351	0.8860759493670886	0.8593103448275862	0.7586206896551724	0.96	0.9166666666666666	0.8727272727272727	0.830188679245283	0.05655172413793105	0.943448275862069
P54760_WT	Fold 4	50:29		0.8631245927388198	0.9367088607594937	0.9282758620689655	0.896551724137931	0.96	0.9285714285714286	0.9411764705882353	0.912280701754386	0.01862068965517242	0.9813793103448275
P54760_WT	Fold 5	50:29		0.583310149549037	0.810126582278481	0.7631034482758621	0.5862068965517241	0.94	0.85	0.7966101694915254	0.6938775510204082	0.07724137931034483	0.9227586206896552
P54760_WT	Mean	-		0.6919935055996043	0.8540822784810127	0.8388045977011493	0.7816091954022989	0.8960000000000001	0.8295881595881595	0.8784981313986158	0.7973319766784497	0.07674942528735636	0.9232505747126437
P54760_WT	SD	-		0.09353602424461593	0.04538302749883127	0.04958028800665915	0.09957853669035664	0.0667333000332917	0.08188527694107135	0.04376220520846933	0.06580393938926292	0.03422912494106232	0.03422912494106229
P54760_WT	Test set	74:70		0.14954574802055565	0.5416666666666666	0.5517374517374517	0.9142857142857143	0.1891891891891892	0.5161290322580645	0.7	0.6597938144329898	0.3868725868725869	0.6131274131274131
P54756_WT	Fold 1	2:10		0.0	0.8333333333333334	0.5	1.0	0.0	0.8333333333333334	0.0	0.9090909090909091	0.6	0.4
P54756_WT	Fold 2	2:9		0.3888888888888889	0.8181818181818182	0.6944444444444444	0.8888888888888888	0.5	0.8888888888888888	0.5	0.8888888888888888	0.5555555555555556	0.4444444444444444
P54756_WT	Fold 3	2:9		0.0	0.8181818181818182	0.5	1.0	0.0	0.8181818181818182	0.0	0.9	0.6111111111111112	0.3888888888888889
P54756_WT	Fold 4	2:9		-0.2222222222222222	0.6363636363636364	0.3888888888888889	0.7777777777777778	0.0	0.7777777777777778	0.0	0.7777777777777778	0.6666666666666666	0.33333333333333337
P54756_WT	Fold 5	2:9		0.6708203932499369	0.9090909090909091	0.75	1.0	0.5	0.9	1.0	0.9473684210526316	0.16666666666666666	0.8333333333333333
P54756_WT	Mean	-		0.16749741198332072	0.803030303030303	0.5666666666666667	0.9333333333333332	0.2	0.8436363636363637	0.3	0.8846251993620415	0.5199999999999999	0.4800000000000001
P54756_WT	SD	-		0.29164486647435495	0.08206099398622183	0.12276814106642386	0.08114408259335795	0.22360679774997896	0.04146502581469124	0.3651483716701107	0.05197149517266724	0.16447947574815172	0.1644794757481517
P54756_WT	Test set	7:8		-0.25	0.4666666666666667	0.4375	0.875	0.0	0.5	0.0	0.6363636363636364	0.5535714285714286	0.44642857142857145
P54753_WT		4:21	Not enough data in minority class of the training set for all 5 folds										
P54753_WT	Fold 1	3:14		0.5400617248673216	0.8823529411764706	0.6666666666666666	1.0	0.3333333333333333	0.875	1.0	0.9333333333333333	0.5	0.5
P54753_WT	Fold 2	3:13		0.53748384988657	0.875	0.6666666666666666	1.0	0.3333333333333333	0.8666666666666667	1.0	0.9285714285714286	0.025641025641025644	0.9743589743589745
P54753_WT	Fold 3	3:13		0.0	0.8125	0.5	1.0	0.0	0.8125	0.0	0.896551724137931	0.20512820512820515	0.7948717948717949
P54753_WT	Fold 4	3:13		0.5897435897435898	0.875	0.7948717948717949	0.9230769230769231	0.6666666666666666	0.9230769230769231	0.6666666666666666	0.9230769230769231	0.07692307692307693	0.9230769230769231
P54753_WT	Fold 5	3:13		0.5897435897435898	0.875	0.7948717948717949	0.9230769230769231	0.6666666666666666	0.9230769230769231	0.6666666666666666	0.9230769230769231	0.07692307692307693	0.9230769230769231
P54753_WT	Mean	-		0.4514065508482143	0.8639705882352942	0.6846153846153846	0.9692307692307693	0.4	0.8800641025641026	0.6666666666666666	0.920922066439308	0.1769230769230769	0.8230769230769232
P54753_WT	SD	-		0.20708741636462746	0.023636398924002336	0.09919686251250708	0.03440104580768905	0.2277100170213244	0.03757270692855489	0.33333333333333337	0.01166013639919277	0.15708834378677125	0.15708834378677125
P54753_WT	Test set	4:21		-0.12869789041755736	0.76	0.4523809523809524	0.9047619047619048	0.0	0.8260869565217391	0.0	0.8636363636363636	0.5238095238095238	0.47619047619047616
P54646_WT		0:19	Only one activity class in traing set for temporal split at 2013										
P53779_WT	Fold 1	20:102		0.5494433078814016	0.8852459016393442	0.7504901960784314	0.9509803921568627	0.55	0.9150943396226415	0.6875	0.9326923076923077	0.0642156862745098	0.9357843137254902
P53779_WT	Fold 2	21:101		0.4243790237712002	0.8524590163934426	0.6845827439886846	0.9405940594059405	0.42857142857142855	0.8878504672897196	0.6	0.9134615384615384	0.11409712399811411	0.8859028760018859
P53779_WT	Fold 3	20:101		0.6428034991362249	0.9090909090909091	0.7851485148514852	0.9702970297029703	0.6	0.9245283018867925	0.8	0.9468599033816426	0.09009900990099011	0.9099009900990099
P53779_WT	Fold 4	20:101		0.7078105259175658	0.9256198347107438	0.7950495049504951	0.9900990099009901	0.6	0.9259259259259259	0.9230769230769231	0.9569377990430621	0.0816831683168317	0.9183168316831684
P53779_WT	Fold 5	20:101		0.46743355270918896	0.8760330578512396	0.6650990099009901	0.9801980198019802	0.35	0.8839285714285714	0.7777777777777778	0.9295774647887323	0.1316831683168317	0.8683168316831683
P53779_WT	Mean	-		0.5583739818831163	0.8896897439371358	0.7360739939540173	0.9664337021937488	0.5057142857142858	0.9074655212307302	0.7576709401709403	0.9359058026734566	0.09635563136145549	0.9036443686385447
P53779_WT	SD	-		0.09640555954960107	0.023308641155062242	0.04792884233705818	0.016687922069767734	0.09123118574095528	0.01647656033269768	0.09944785872046723	0.013640971373083347	0.02179525170917347	0.02179525170917348
P53779_WT	Test set	154:86		0.06957097900123935	0.4375	0.5283147085472667	0.8488372093023255	0.2077922077922078	0.37435897435897436	0.7111111111111111	0.5195729537366548	0.536771368166717	0.463228631833283
P53778_WT	Fold 1	5:165		0.4418894343490791	0.9764705882352941	0.6	1.0	0.2	0.9763313609467456	1.0	0.9880239520958084	0.17212121212121212	0.8278787878787879
P53778_WT	Fold 2	5:165		0.0	0.9705882352941176	0.5	1.0	0.0	0.9705882352941176	0.0	0.9850746268656716	0.2709090909090909	0.729090909090909
P53778_WT	Fold 3	4:165		0.0	0.9763313609467456	0.5	1.0	0.0	0.9763313609467456	0.0	0.9880239520958084	0.25	0.75
P53778_WT	Fold 4	5:164		0.4418575508442684	0.9763313609467456	0.6	1.0	0.2	0.9761904761904762	1.0	0.9879518072289156	0.07195121951219512	0.9280487804878049
P53778_WT	Fold 5	5:164		0.4418575508442684	0.9763313609467456	0.6	1.0	0.2	0.9761904761904762	1.0	0.9879518072289156	0.13414634146341464	0.8658536585365854
P53778_WT	Mean	-		0.2651209072075232	0.9752105812739297	0.56	1.0	0.12000000000000002	0.9751263819137123	0.6	0.9874052291030239	0.17982557280118255	0.8201744271988174
P53778_WT	SD	-		0.19760945720993844	0.002110376788031111	0.04472135954999579	0.0	0.0894427190999916	0.002072169432451618	0.447213595499958	0.0010641771757057645	0.06708636591515132	0.06708636591515135
P53778_WT	Test set	34:26		0.0	0.43333333333333335	0.5	1.0	0.0	0.43333333333333335	0.0	0.6046511627906976	0.6662895927601811	0.333710407239819
P53671_WT	Fold 1	11:13		0.5853694070049635	0.7916666666666666	0.7937062937062938	0.7692307692307693	0.8181818181818182	0.8333333333333334	0.75	0.8	0.06293706293706294	0.9370629370629371
P53671_WT	Fold 2	11:13		0.9187795405622854	0.9583333333333334	0.9545454545454546	1.0	0.9090909090909091	0.9285714285714286	1.0	0.962962962962963	0.006993006993006996	0.993006993006993
P53671_WT	Fold 3	11:13		0.7526178090063816	0.875	0.8776223776223776	0.8461538461538461	0.9090909090909091	0.9166666666666666	0.8333333333333334	0.8799999999999999	0.05594405594405595	0.9440559440559441
P53671_WT	Fold 4	11:13		0.8420753583206844	0.9166666666666666	0.9090909090909092	1.0	0.8181818181818182	0.8666666666666667	1.0	0.9285714285714286	0.020979020979020987	0.979020979020979
P53671_WT	Fold 5	11:13		0.8461538461538461	0.9166666666666666	0.9230769230769231	0.8461538461538461	1.0	1.0	0.8461538461538461	0.9166666666666666	0.0	1.0
P53671_WT	Mean	-		0.7889991922096322	0.8916666666666666	0.8916083916083917	0.8923076923076924	0.890909090909091	0.909047619047619	0.885897435897436	0.8976402116402117	0.029370629370629377	0.9706293706293707
P53671_WT	SD	-		0.10465448482295454	0.05159493228057421	0.05006231141005718	0.08426500884694862	0.06210273191490663	0.05202621584642269	0.09023066843478945	0.05071258227821854	0.023333321689962144	0.023333321689962133
P53671_WT	Test set	97:27		0.3615594146389464	0.5967741935483871	0.7155402825505919	0.9259259259259259	0.5051546391752577	0.3424657534246575	0.9607843137254902	0.5	0.17869415807560135	0.8213058419243986
P53667_WT	Fold 1	20:166		0.43967710933263043	0.9139784946236559	0.6439759036144578	0.9879518072289156	0.3	0.9213483146067416	0.75	0.9534883720930233	0.3015060240963855	0.6984939759036144
P53667_WT	Fold 2	20:166		0.6859357795329966	0.946236559139785	0.771987951807229	0.9939759036144579	0.55	0.9482758620689655	0.9166666666666666	0.9705882352941175	0.2243975903614458	0.7756024096385543
P53667_WT	Fold 3	19:166		0.5408586243613569	0.9297297297297298	0.6811984781230184	0.9939759036144579	0.3684210526315789	0.9322033898305084	0.875	0.9620991253644313	0.1696258719086874	0.8303741280913126
P53667_WT	Fold 4	19:166		0.56158079722792	0.9297297297297298	0.7278059606848446	0.9819277108433735	0.47368421052631576	0.9421965317919075	0.75	0.9616519174041298	0.15250475586556755	0.8474952441344326
P53667_WT	Fold 5	20:165		0.4876860228382066	0.918918918918919	0.668939393939394	0.9878787878787879	0.35	0.9261363636363636	0.7777777777777778	0.9560117302052786	0.23454545454545456	0.7654545454545454
P53667_WT	Mean	-		0.5431476666586221	0.9277186864283641	0.6987815376337887	0.9891420226359987	0.40842105263157896	0.9340320923868972	0.8138888888888889	0.960767876072196	0.21651593935550814	0.7834840606444919
P53667_WT	SD	-		0.07584591327604333	0.010142558677233763	0.041643269267828034	0.004118889009512824	0.08273655193913675	0.009093110486076882	0.0629357239554312	0.005394523622656749	0.04814320371173149	0.04814320371173155
P53667_WT	Test set	84:41		0.0	0.328	0.5	1.0	0.0	0.328	0.0	0.4939759036144578	0.4788037166085947	0.5211962833914053
P53355_WT		3:26	Not enough data in minority class of the training set for all 5 folds										
P53355_WT	Fold 1	2:10		0.0	0.8333333333333334	0.5	1.0	0.0	0.8333333333333334	0.0	0.9090909090909091	0.3	0.7
P53355_WT	Fold 2	1:10		-0.1	0.8181818181818182	0.45	0.9	0.0	0.9	0.0	0.9	0.2	0.8
P53355_WT	Fold 3	2:9		0.0	0.8181818181818182	0.5	1.0	0.0	0.8181818181818182	0.0	0.9	0.5	0.5
P53355_WT	Fold 4	2:9		0.0	0.8181818181818182	0.5	1.0	0.0	0.8181818181818182	0.0	0.9	0.16666666666666666	0.8333333333333333
P53355_WT	Fold 5	2:9		0.0	0.8181818181818182	0.5	1.0	0.0	0.8181818181818182	0.0	0.9	0.2222222222222222	0.7777777777777778
P53355_WT	Mean	-		-0.02	0.8212121212121213	0.49000000000000005	0.9800000000000001	0.0	0.8375757575757576	0.0	0.9018181818181817	0.2777777777777778	0.7222222222222221
P53355_WT	SD	-		0.03651483716701107	0.005532551085910764	0.01825741858350553	0.03651483716701106	0.0	0.02899183465891927	0.0	0.003319530651546442	0.10905505084692932	0.1090550508469293
P53355_WT	Test set	3:26		-0.15504341823651058	0.7241379310344828	0.40384615384615385	0.8076923076923077	0.0	0.875	0.0	0.8400000000000001	0.4871794871794872	0.5128205128205128
P53350_WT	Fold 1	24:247		0.6382739747257474	0.948339483394834	0.7647604588394061	0.9878542510121457	0.5416666666666666	0.9568627450980393	0.8125	0.9721115537848605	0.042004048582995945	0.957995951417004
P53350_WT	Fold 2	25:246		0.7115168228886946	0.955719557195572	0.8139024390243903	0.9878048780487805	0.64	0.9642857142857143	0.8421052631578947	0.9759036144578312	0.07853658536585365	0.9214634146341463
P53350_WT	Fold 3	24:246		0.49241011240107063	0.9296296296296296	0.698170731707317	0.9796747967479674	0.4166666666666667	0.9450980392156862	0.6666666666666666	0.9620758483033932	0.06182249322493223	0.9381775067750678
P53350_WT	Fold 4	24:246		0.7484149196617775	0.9629629629629629	0.8104674796747968	0.9959349593495935	0.625	0.9645669291338582	0.9375	0.98	0.029810298102981015	0.970189701897019
P53350_WT	Fold 5	24:246		0.557679206677975	0.9333333333333333	0.7566056910569106	0.9715447154471545	0.5416666666666666	0.956	0.65	0.9637096774193548	0.07452574525745256	0.9254742547425475
P53350_WT	Mean	-		0.6296590072710531	0.9459969933032664	0.7687813600605642	0.9845627201211282	0.553	0.9573626855466596	0.7817543859649122	0.9707601387930879	0.05733983410684309	0.942660165893157
P53350_WT	SD	-		0.08650263695994227	0.011662750621972862	0.038565787372810925	0.007572250098190761	0.07256797579587783	0.006485340579087702	0.09953945516375771	0.006308494358253509	0.017116335808243607	0.017116335808243614
P53350_WT	Test set	137:3262		0.5220763704829364	0.969991173874669	0.6871752585624331	0.9947884733292459	0.3795620437956204	0.9744744744744744	0.7536231884057971	0.9845266990291262	0.14488894458193663	0.8551110554180634
P52564_WT		3:47	Not enough data in minority class of the training set for all 5 folds										
P52333_WT	Fold 1	43:190		0.610601591540203	0.8884120171673819	0.7876376988984088	0.9473684210526315	0.627906976744186	0.9183673469387755	0.7297297297297297	0.9326424870466321	0.13880048959608324	0.8611995104039167
P52333_WT	Fold 2	43:190		0.5868244332408418	0.8841201716738197	0.7670134638922889	0.9526315789473684	0.5813953488372093	0.9095477386934674	0.7352941176470589	0.9305912596401029	0.13635250917992656	0.8636474908200734
P52333_WT	Fold 3	44:189		0.5149931720853458	0.8626609442060086	0.7322631072631072	0.9417989417989417	0.5227272727272727	0.8944723618090452	0.6764705882352942	0.9175257731958764	0.1022126022126022	0.8977873977873977
P52333_WT	Fold 4	44:189		0.5973395663732444	0.8884120171673819	0.7481361231361231	0.9735449735449735	0.5227272727272727	0.8975609756097561	0.8214285714285714	0.934010152284264	0.12133237133237132	0.8786676286676285
P52333_WT	Fold 5	44:189		0.6217198385094075	0.8927038626609443	0.7769360269360269	0.9629629629629629	0.5909090909090909	0.91	0.7878787878787878	0.93573264781491	0.09836459836459835	0.9016354016354017
P52333_WT	Mean	-		0.5862957203498085	0.8832618025751072	0.7623972840251909	0.9556613756613757	0.5691331923890063	0.9059896846102088	0.7501603589838884	0.930100463996357	0.11941251413711633	0.8805874858628837
P52333_WT	SD	-		0.03428299622997242	0.009723974516718989	0.018171461251081465	0.010354194699461819	0.03738521705132691	0.008017073063422463	0.04577196383440081	0.005941839885567279	0.015304654001730787	0.015304654001730788
P52333_WT	Test set	1105:546		-0.018333969940564226	0.4015748031496063	0.49179056237879765	0.7582417582417582	0.2253393665158371	0.32598425196850395	0.6535433070866141	0.45594713656387664	0.48675683291067906	0.5132431670893209
P51957_WT		0:1	Only one activity class in traing set for temporal split at 2013										
P51955_WT	Fold 1	11:187		0.5114083119567587	0.9595959595959596	0.6363636363636364	1.0	0.2727272727272727	0.958974358974359	1.0	0.9790575916230366	0.10695187165775402	0.893048128342246
P51955_WT	Fold 2	11:187		0.41649656391752143	0.9545454545454546	0.5909090909090909	1.0	0.18181818181818182	0.9540816326530612	1.0	0.9765013054830287	0.2440447253281478	0.7559552746718522
P51955_WT	Fold 3	10:187		0.2946278581482763	0.949238578680203	0.5946524064171123	0.9893048128342246	0.2	0.9585492227979274	0.5	0.9736842105263158	0.16791443850267382	0.8320855614973262
P51955_WT	Fold 4	10:187		0.5801956525998156	0.9644670050761421	0.7446524064171123	0.9893048128342246	0.5	0.9736842105263158	0.7142857142857143	0.9814323607427056	0.07593582887700534	0.9240641711229947
P51955_WT	Fold 5	10:187		0.20544632944518063	0.934010152284264	0.5866310160427808	0.9732620320855615	0.2	0.9578947368421052	0.2857142857142857	0.9655172413793103	0.16470588235294117	0.8352941176470589
P51955_WT	Mean	-		0.40163494321351056	0.9523714300364047	0.6306417112299465	0.9903743315508022	0.2709090909090909	0.9606368323587537	0.7	0.9752385419508794	0.15191054934370443	0.8480894506562955
P51955_WT	SD	-		0.12523010528505032	0.009575789121321048	0.054531384715021905	0.008948235577904553	0.10838153197768152	0.006162328286770416	0.25555062599997597	0.005024319760635686	0.05276045275365579	0.05276045275365579
P51955_WT	Test set	6:39		-0.08459098688756271	0.8222222222222222	0.47435897435897434	0.9487179487179487	0.0	0.8604651162790697	0.0	0.9024390243902439	0.5940170940170941	0.405982905982906
P51817_WT	Fold 1	24:141		0.6146588577276662	0.9151515151515152	0.7429078014184397	0.9858156028368794	0.5	0.9205298013245033	0.8571428571428571	0.9520547945205479	0.08569739952718676	0.9143026004728132
P51817_WT	Fold 2	23:141		0.4387385907865108	0.8780487804878049	0.6925686093123651	0.950354609929078	0.43478260869565216	0.9115646258503401	0.5882352941176471	0.9305555555555557	0.17237126117792168	0.8276287388220783
P51817_WT	Fold 3	23:141		0.44220402077370274	0.8841463414634146	0.6779216774591428	0.9645390070921985	0.391304347826087	0.9066666666666666	0.6428571428571429	0.9347079037800686	0.13876040703052733	0.8612395929694727
